央視頻道,#genre#
青海衛視,http://101.71.255.229:6610/zjhs/2/10038/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
山東衛視,http://101.71.255.229:6610/zjhs/2/10039/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
山西衛視,http://101.71.255.229:6610/zjhs/2/10041/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
陝西衛視,http://101.71.255.229:6610/zjhs/2/10042/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
深圳衛視,http://101.71.255.229:6610/zjhs/2/10044/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
四川衛視,http://101.71.255.229:6610/zjhs/2/10046/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
天津衛視,http://101.71.255.229:6610/zjhs/2/10047/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
西藏衛視,http://101.71.255.229:6610/zjhs/2/10049/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
新疆衛視,http://101.71.255.229:6610/zjhs/2/10050/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
雲南衛視,http://101.71.255.229:6610/zjhs/2/10054/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
浙江衛視,http://101.71.255.229:6610/zjhs/2/10058/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
重慶衛視,http://101.71.255.229:6610/zjhs/2/10081/index.m3u8?virtualDomain=zjhs.live_hls.zte.com

港台新聞,#genre#

鳳凰資訊台,http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
鳳凰中文台,http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8
鳳凰香港台,rtmp://59.124.75.156/live/1a8bfa7b4f304adf8a9f4f2879000046
無線新聞台,P2p://fccseuro.pvbox.live:18912/5dbeb1c40003f9a457dd11d6cb7a10d0.ts#p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
有線新聞台,P2p://fccsovh.pvbox.live:18912/5cb870e80007bd8518bd664dc725ad75.ts#p8p://0198.02686.cc:16871/5e021549000d8ec4e44477e9f2ec6aad.ts
中天新聞,P2p://fccsovh.pvbox.live:18912/5c2dd72e0002527b8513c4ec41b6e9f5.ts#p8p://0198.02686.cc:16871/5d1a69b000057f8711bdce095e527c76.ts
TVBS新聞,P2p://fccsovh.pvbox.live:18912/5c2dd76300095ef4ca7620ece66109ec.ts#p8p://0198.02686.cc:16871/5db05ca40003699da50b30c835589bf5.ts
東森新聞,P2p://fccsovh.pvbox.live:18912/5c2dd7310008b3195b1f53317f5456e2.ts#p8p://0198.02686.cc:16871/5d1a69c2000a678211be159b7e5802a8.ts
年代新聞,P2p://fccsovh.pvbox.live:18912/5c2dd76000032856525d0ee781504477.ts#p8p://0198.02686.cc:16871/5d1a69bb000e0fd711bdfb32923ec02b.ts
非凡新聞,P2p://fccsovh.pvbox.live:18912/5c2dd766000ecf4afbbc524f35790871.ts#p8p://0198.02686.cc:16871/5d1a69d500091c6b11be5f7e1276fa82.ts
三立新聞,P2p://fccsovh.pvbox.live:18912/5c2dd73800094069401436c92bc9bed5.ts#p8p://0198.02686.cc:16871/5d1a69ad0006fe8711bdc2b3f14f64be.ts
壹新聞,P2p://fccsovh.pvbox.live:18912/5c2dd75c000b56813bdbfb1808231457.ts#p8p://0198.02686.cc:16871/5d1a69b6000b8d0a11bde706a99c146a.ts
寰宇新聞1,P2p://fccsovh.pvbox.live:18912/5b1408f30005adec057583980131e1ee.ts#p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
民視新聞,P2p://fccsovh.pvbox.live:18912/5c2dd73500017585407c3f581ea07c53.ts#p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts
中視新聞,P2p://fccsovh.pvbox.live:18912/5b14095e000f377429ff3179bb3ebfec.ts

PV源,#genre#
翡翠,P2p://fccseuro.pvbox.live:18912/5d1220350000ba27f9471ccdeb9a8058.ts
翡翠,P2p://fccsovh.pvbox.live:18912/5d1220350000ba27f9471ccdeb9a8058.ts
翡翠(備),P2p://fccseuro.pvbox.live:18912/5dbeb1c60000e0465bf4890714f16176.ts
翡翠(備),P2p://fccsovh.pvbox.live:18912/5dbeb1c60000e0465bf4890714f16176.ts
無線新聞,P2p://fccseuro.pvbox.live:18912/5dbeb1c40003f9a457dd11d6cb7a10d0.ts
無線新聞,P2p://fccsovh.pvbox.live:18912/5dbeb1c40003f9a457dd11d6cb7a10d0.ts
無線新聞(備),P2p://fccsovh.pvbox.live:18912/5ee71d1c0004c66962b2bbef39b16ddb.ts
無線新聞(備),P2p://fccseuro.pvbox.live:18912/5ee71d1c0004c66962b2bbef39b16ddb.ts
J2,P2p://fccseuro.pvbox.live:18912/5dbeb1ce0004b0ebd816f2f1ed100d7b.ts
J2,P2p://fccsovh.pvbox.live:18912/5dbeb1ce0004b0ebd816f2f1ed100d7b.ts
J2(備),P2p://fccseuro.pvbox.live:18912/5d122036000a0661d2e59906fed8fd3c.ts
J2(備),http://pili-live-hdl.qhmywl.com/dsdtv/9de1ac6a9a4642e1aac41462c6159b92.flv
J2(備),P2p://fccsovh.pvbox.live:18912/5d122036000a0661d2e59906fed8fd3c.ts
J5,P2p://fccseuro.pvbox.live:18912/5b14095400047cf5d3436751842bee62.ts
J5,P2p://fccsovh.pvbox.live:18912/5b14095400047cf5d3436751842bee62.ts
明珠,P2p://fccseuro.pvbox.live:18912/5dbeb1ca000ccc5031839eb645936fa4.ts
明珠,P2p://fccsovh.pvbox.live:18912/5dbeb1ca000ccc5031839eb645936fa4.ts
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
無線財經,P2p://fccseuro.pvbox.live:18912/5dbeb1cc0007501623a21bd1ab71921c.ts
無線財經,P2p://fccsovh.pvbox.live:18912/5dbeb1cc0007501623a21bd1ab71921c.ts
HKC新聞,P2p://fccsovh.pvbox.live:18912/5cb870e80007bd8518bd664dc725ad75.ts
HKC新聞,P2p://fccseuro.pvbox.live:18912/5cb870e80007bd8518bd664dc725ad75.ts
有線體育,P2p://fccsovh.pvbox.live:18912/5cb870de000968d092345e9ff2a5d955.ts
有線體育,P2p://fccseuro.pvbox.live:18912/5cb870de000968d092345e9ff2a5d955.ts
財經資訊,P2p://fccsovh.pvbox.live:18912/5cb870e2000e6af34fc116afe55bd97f.ts
財經資訊,P2p://fccseuro.pvbox.live:18912/5cb870e2000e6af34fc116afe55bd97f.ts
香港開電視,P2p://fccseuro.pvbox.live:18912/5b140a990002d1a89cac9e13b5b361a2.ts
香港開電視,P2p://fccsovh.pvbox.live:18912/5b140a990002d1a89cac9e13b5b361a2.ts
TVB星河,P2p://fccseuro.pvbox.live:18912/5d65048c0003e9aecc353f52270c8bbe.ts
TVB星河,P2p://fccsovh.pvbox.live:18912/5d65048c0003e9aecc353f52270c8bbe.ts
VIUTV6,P2p://fccseuro.pvbox.live:18912/5dbeb1c9000305c43cdb0149358f3a61.ts
VIUTV6,P2p://fccsovh.pvbox.live:18912/5dbeb1c9000305c43cdb0149358f3a61.ts
VIU,P2p://fccseuro.pvbox.live:18912/5dbeb1c70009386833caae6ccb5d0800.ts
VIU,P2p://fccsovh.pvbox.live:18912/5dbeb1c70009386833caae6ccb5d0800.ts
星空衛視,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=233
星空衛視,P2p://fccseuro.pvbox.live:18912/5b1409fb0000e9857fe430e18a1c406d.ts
星空衛視,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=233
鳳凰中文台 HD,P2p://fccseuro.pvbox.live:18912/5b14092b00075956b021861efc75b7ed.ts
鳳凰中文台 HD,http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8
鳳凰中文台 HD,P2p://fccsovh.pvbox.live:18912/5b14092b00075956b021861efc75b7ed.ts
鳳凰資訊台 HD,P2p://fccseuro.pvbox.live:18912/5b14092b00090483328819f2db8ecad0.ts
鳳凰資訊台 HD,http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8
鳳凰資訊台 HD,P2p://fccsovh.pvbox.live:18912/5b14092b00090483328819f2db8ecad0.ts
鳳凰香港台 HD,P2p://fccseuro.pvbox.live:18912/5b14092b000ab058aba6213c0ddec4b0.ts
