使用方法,#genre#
鳳凰衛視,http://nb.iptv88888.xyz/hls/fhzwt.m3u8
鳳凰諮詢,http://nb.iptv88888.xyz/hls/fhzixun.m3u8
鳳凰深圳旁邊,http://nb.iptv88888.xyz/hls/fh深圳旁邊.m3u8
翡翠台,http://nb.iptv88888.xyz/hls/feicui.m3u8
J2,http://nb.iptv88888.xyz/hls/longtvj2.m3u8
J5,http://nb.iptv88888.xyz/hls/longj5.m3u8
pearl,http://nb.iptv88888.xyz/hls/pearl.m3u8
互動新聞,http://nb.iptv88888.xyz/hls/inews.m3u8
有線新聞,http://nb.iptv88888.xyz/hls/hkcxw.m3u8
有線娛樂,http://nb.iptv88888.xyz/hls/hkcyule.m3u8
有線財*,http://nb.iptv88888.xyz/hls/hkccj.m3u8
衛視卡式台,http://nb.iptv88888.xyz/hls/wskst.m3u8
華麗臺,http://nb.iptv88888.xyz/hls/huali.m3u8
VIUTV,http://nb.iptv88888.xyz/hls/viutv.m3u8
VIUTV6,http://nb.iptv88888.xyz/hls/viutv6.m3u8
澳亞衛視,http://nb.iptv88888.xyz/hls/aoyws.m3u8
澳門衛視,http://nb.iptv88888.xyz/hls/aomws.m3u8
星空衛視,http://nb.iptv88888.xyz/hls/xingkongws.m3u8
民視,http://nb.iptv88888.xyz/hls/minshi.m3u8
民視新聞,http://nb.iptv88888.xyz/hls/msxinwen.m3u8
民視第一,http://nb.iptv88888.xyz/hls/msone.m3u8
民視福建旁邊,http://nb.iptv88888.xyz/hls/mstaiwan.m3u8
華視,http://nb.iptv88888.xyz/hls/huashi.m3u8
華視新聞,http://nb.iptv88888.xyz/hls/hsnews.m3u8
華視教育,http://nb.iptv88888.xyz/hls/hsedu.m3u8
公視,http://nb.iptv88888.xyz/hls/gongshi.m3u8
公視2,http://nb.iptv88888.xyz/hls/gongshi2.m3u8
公視3,http://nb.iptv88888.xyz/hls/gongshi3.m3u8
台視,http://nb.iptv88888.xyz/hls/taishi.m3u8
台視綜合,http://nb.iptv88888.xyz/hls/ttvzonghe.m3u8
大愛,http://nb.iptv88888.xyz/hls/daaiws.m3u8
台視新聞,http://nb.iptv88888.xyz/hls/tsxinwen.m3u8
中視,http://nb.iptv88888.xyz/hls/zhongshi.m3u8
中視經典,http://nb.iptv88888.xyz/hls/zsjingdian.m3u8
中視新聞,http://nb.iptv88888.xyz/hls/zsxinwen.m3u8
中視箐採,http://nb.iptv88888.xyz/hls/zsqingcai.m3u8
TVBS,http://nb.iptv88888.xyz/hls/tvbsm.m3u8
TVBS新聞,http://nb.iptv88888.xyz/hls/tvbsxwm.m3u8
TVBS歡樂,http://nb.iptv88888.xyz/hls/tvbshuanle.m3u8
中天綜合,http://nb.iptv88888.xyz/hls/ztzonghe.m3u8
中天娛樂,http://nb.iptv88888.xyz/hls/ztyule.m3u8
八大綜合,http://nb.iptv88888.xyz/hls/bdzonghe.m3u8
八大第一,http://nb.iptv88888.xyz/hls/bddiyi.m3u8
八大戲劇,http://nb.iptv88888.xyz/hls/bdxiju.m3u8
八大娛樂,http://nb.iptv88888.xyz/hls/bdyule.m3u8
東森綜合,http://nb.iptv88888.xyz/hls/dongsenzh.m3u8
東森戲劇,http://nb.iptv88888.xyz/hls/dsxiju.m3u8
東森電影,http://nb.iptv88888.xyz/hls/dsmovie.m3u8
東森超視,http://nb.iptv88888.xyz/hls/dschaoshi.m3u8
東森洋片,http://nb.iptv88888.xyz/hls/dsyangpian.m3u8
東森新聞,http://nb.iptv88888.xyz/hls/dsxinwen.m3u8
東森財*,http://nb.iptv88888.xyz/hls/dscaiji.m3u8
東森亞洲,http://nb.iptv88888.xyz/hls/dsyazhou.m3u8
緯來綜合,http://nb.iptv88888.xyz/hls/wlzonghe.m3u8
緯來戲劇,http://nb.iptv88888.xyz/hls/wlxiju.m3u8
緯來精采,http://nb.iptv88888.xyz/hls/wljingcai.m3u8
緯來電影,http://nb.iptv88888.xyz/hls/wlmovie.m3u8
緯來日本,http://nb.iptv88888.xyz/hls/wljpan.m3u8
緯來體育,http://nb.iptv88888.xyz/hls/wltiyu.m3u8
三立綜合,http://nb.iptv88888.xyz/hls/slzonghe.m3u8
三立都會,http://nb.iptv88888.xyz/hls/sldouhui.m3u8
三立戲劇,http://nb.iptv88888.xyz/hls/slxiju.m3u8
三立福建旁邊,http://nb.iptv88888.xyz/hls/sltaiwan.m3u8
三立新聞,http://nb.iptv88888.xyz/hls/slxinwen.m3u8
ELTA綜合,http://nb.iptv88888.xyz/hls/elzonghe.m3u8
ELTA影劇,http://nb.iptv88888.xyz/hls/elyingju.m3u8
ELTA體育1,http://nb.iptv88888.xyz/hls/eltiyu1.m3u8
ELTA體育2,http://nb.iptv88888.xyz/hls/eltiyu2.m3u8
ELTA體育3,http://nb.iptv88888.xyz/hls/eltiyu3.m3u8
寰宇新聞,http://nb.iptv88888.xyz/hls/huanyu1.m3u8
寰宇福建旁邊,http://nb.iptv88888.xyz/hls/huanyu2.m3u8
非凡新聞,http://nb.iptv88888.xyz/hls/ffxinwen.m3u8
年代新聞,http://nb.iptv88888.xyz/hls/ndxinwen.m3u8
壹新聞,http://nb.iptv88888.xyz/hls/yixinwen.m3u8
龍翔電影,http://nb.iptv88888.xyz/hls/lxtime.m3u8
星衛電影,http://nb.iptv88888.xyz/hls/xwtime.m3u8
衛視電影,http://nb.iptv88888.xyz/hls/wstime.m3u8
天映頻道,http://nb.iptv88888.xyz/hls/tianyingpd.m3u8
天映經典,http://nb.iptv88888.xyz/hls/tianyingjd.m3u8
mtvlive,http://nb.iptv88888.xyz/hls/mtvlive.m3u8
國家地理,http://nb.iptv88888.xyz/hls/natgeo.m3u8
地理人文,http://nb.iptv88888.xyz/hls/dilipeople.m3u8
地理野生,http://nb.iptv88888.xyz/hls/geowild.m3u8
龍華偶像,http://nb.iptv88888.xyz/hls/longhuaox.m3u8
龍華電影,http://nb.iptv88888.xyz/hls/longhuamovie.m3u8
龍華洋片,http://nb.iptv88888.xyz/hls/longhuayangpian.m3u8
龍華戲劇,http://nb.iptv88888.xyz/hls/longhuaxiju.m3u8
靖天電影,http://nb.iptv88888.xyz/hls/jtmovie.m3u8
靖天映畫,http://nb.iptv88888.xyz/hls/jtyinghua.m3u8
靖天國際,http://nb.iptv88888.xyz/hls/jtguoji.m3u8
靖天卡通,http://nb.iptv88888.xyz/hls/jtkatong.m3u8
寰宇財*,http://nb.iptv88888.xyz/hls/hycaiji.m3u8
好萊塢電影,http://nb.iptv88888.xyz/hls/haolaiwu.m3u8
HBO,http://nb.iptv88888.xyz/hls/hbohd.m3u8
france24,http://nb.iptv88888.xyz/hls/france24.m3u8
CNN,http://nb.iptv88888.xyz/hls/cnnhd.m3u8
bloomberg,http://nb.iptv88888.xyz/hls/bloomberg.m3u8
bbcnews,http://nb.iptv88888.xyz/hls/bbcnews.m3u8
RT,http://nb.iptv88888.xyz/hls/rttime.m3u8
AXN,http://nb.iptv88888.xyz/hls/axnhd.m3u8
東森幼幼,http://nb.iptv88888.xyz/hls/dsyouyou.m3u8
starmovies,http://nb.iptv88888.xyz/hls/starmovies.m3u8


台灣TEST,#genre#
公視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMTM_
台視台語台,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMTR_
華視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMTE_
民視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENQ__
CNN,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENg__
台視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENw__
人間衛視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEOA__
中視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEOQ__
原民台,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMTY_
客家電視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMTc_
國家地理,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMTg_
discovery,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMTk_
TCNN,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjA_
TLC旅遊生活,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjE_
CN卡通,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjI_
迪士尼,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjM_
MOMO親子,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjQ_
東森幼幼,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjU_
緯來綜合,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjY_
八大第一,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjc_
八大綜合,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjg_
三立台灣,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMjk_
三立都會,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzA_
衛視中文,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzE_
東森綜合,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzI_
東森超視,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzM_
東森購物2,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzQ_
MOMO2,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzU_
中天綜合,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzY_
東風37,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzc_
年代MUCH,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNEMzg_
東森戲劇,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDA_
八大戲劇,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDE_
TVBS歡樂,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDI_
緯來戲劇,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDM_
高點綜合,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDQ_
JET綜合,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDU_
MOMO1,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDg_
壹新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENDk_
年代新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTA_
東森新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTE_
中天新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTI_
民視新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTM_
三立新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTQ_
TVBS新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTU_
TVBS,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTY_
東森財經新聞,http://191.101.44.238/tV.php?aitangyuanTV&play&vkeys=dmlkJTNEaGF0diUyM2lkJTNENTc_
